Key,Value
2015-02-01T00:00:00.0000000+00:00,53950
2015-02-02T00:00:00.0000000+00:00,39760
2015-02-03T00:00:00.0000000+00:00,89296
2015-02-04T00:00:00.0000000+00:00,60855
2015-02-05T00:00:00.0000000+00:00,61673
2015-02-06T00:00:00.0000000+00:00,48938
2015-02-07T00:00:00.0000000+00:00,53560
2015-02-08T00:00:00.0000000+00:00,8605
2015-02-09T00:00:00.0000000+00:00,1270
2015-02-12T00:00:00.0000000+00:00,3118
2015-02-13T00:00:00.0000000+00:00,897
2015-02-14T00:00:00.0000000+00:00,499
2015-02-15T00:00:00.0000000+00:00,452
2015-02-16T00:00:00.0000000+00:00,1366
2015-02-17T00:00:00.0000000+00:00,661
2015-02-18T00:00:00.0000000+00:00,846
2015-02-19T00:00:00.0000000+00:00,767
2015-02-20T00:00:00.0000000+00:00,1123
2015-02-21T00:00:00.0000000+00:00,477
2015-02-22T00:00:00.0000000+00:00,480
2015-02-23T00:00:00.0000000+00:00,764
2015-02-24T00:00:00.0000000+00:00,753
2015-02-25T00:00:00.0000000+00:00,832
2015-02-26T00:00:00.0000000+00:00,784
2015-02-27T00:00:00.0000000+00:00,632
2015-02-28T00:00:00.0000000+00:00,467
2015-03-01T00:00:00.0000000+00:00,378
2015-03-02T00:00:00.0000000+00:00,803
2015-03-03T00:00:00.0000000+00:00,900
2015-03-04T00:00:00.0000000+00:00,895
2015-03-05T00:00:00.0000000+00:00,942
2015-03-06T00:00:00.0000000+00:00,773
2015-03-07T00:00:00.0000000+00:00,477
2015-03-08T00:00:00.0000000+00:00,562
2015-03-09T00:00:00.0000000+00:00,886
2015-03-10T00:00:00.0000000+00:00,887
2015-03-11T00:00:00.0000000+00:00,939
2015-03-12T00:00:00.0000000+00:00,1663
2015-03-13T00:00:00.0000000+00:00,626
2015-03-14T00:00:00.0000000+00:00,800
2015-03-15T00:00:00.0000000+00:00,638
2015-03-16T00:00:00.0000000+00:00,706
2015-03-17T00:00:00.0000000+00:00,824
2015-03-18T00:00:00.0000000+00:00,601
2015-03-19T00:00:00.0000000+00:00,760
2015-03-20T00:00:00.0000000+00:00,846
2015-03-21T00:00:00.0000000+00:00,390
2015-03-22T00:00:00.0000000+00:00,600
2015-03-23T00:00:00.0000000+00:00,906
2015-03-24T00:00:00.0000000+00:00,805
2015-03-25T00:00:00.0000000+00:00,953
2015-03-26T00:00:00.0000000+00:00,863
2015-03-27T00:00:00.0000000+00:00,876
2015-03-28T00:00:00.0000000+00:00,500
2015-03-29T00:00:00.0000000+00:00,391
2015-03-30T00:00:00.0000000+00:00,790
2015-03-31T00:00:00.0000000+00:00,753
2015-04-01T00:00:00.0000000+00:00,965
2015-04-02T00:00:00.0000000+00:00,701
2015-04-03T00:00:00.0000000+00:00,618
2015-04-04T00:00:00.0000000+00:00,487
2015-04-05T00:00:00.0000000+00:00,388
2015-04-06T00:00:00.0000000+00:00,664
2015-04-07T00:00:00.0000000+00:00,1922
2015-04-08T00:00:00.0000000+00:00,607
2015-04-09T00:00:00.0000000+00:00,929
2015-04-10T00:00:00.0000000+00:00,708
2015-04-11T00:00:00.0000000+00:00,394
2015-04-12T00:00:00.0000000+00:00,491
2015-04-13T00:00:00.0000000+00:00,690
2015-04-14T00:00:00.0000000+00:00,734
2015-04-16T00:00:00.0000000+00:00,1569
2015-04-17T00:00:00.0000000+00:00,1219
2015-04-18T00:00:00.0000000+00:00,557
2015-04-19T00:00:00.0000000+00:00,573
2015-04-20T00:00:00.0000000+00:00,655
2015-04-21T00:00:00.0000000+00:00,1440
2015-04-22T00:00:00.0000000+00:00,1056
2015-04-23T00:00:00.0000000+00:00,825
2015-04-24T00:00:00.0000000+00:00,810
2015-04-27T00:00:00.0000000+00:00,2245
2015-04-28T00:00:00.0000000+00:00,910
2015-04-29T00:00:00.0000000+00:00,1449
2015-04-30T00:00:00.0000000+00:00,653
2015-05-01T00:00:00.0000000+00:00,927
2015-05-02T00:00:00.0000000+00:00,58
2015-05-04T00:00:00.0000000+00:00,2044
2015-05-05T00:00:00.0000000+00:00,637
2015-05-06T00:00:00.0000000+00:00,728
2015-05-07T00:00:00.0000000+00:00,925
2015-05-08T00:00:00.0000000+00:00,575
2015-05-09T00:00:00.0000000+00:00,334
2015-05-10T00:00:00.0000000+00:00,293
2015-05-11T00:00:00.0000000+00:00,553
2015-05-12T00:00:00.0000000+00:00,860
2015-05-13T00:00:00.0000000+00:00,733
2015-05-14T00:00:00.0000000+00:00,735
2015-05-15T00:00:00.0000000+00:00,1047
2015-05-16T00:00:00.0000000+00:00,679
2015-05-17T00:00:00.0000000+00:00,499
2015-05-18T00:00:00.0000000+00:00,1037
2015-05-19T00:00:00.0000000+00:00,558
2015-05-20T00:00:00.0000000+00:00,823
2015-05-21T00:00:00.0000000+00:00,705
2015-05-22T00:00:00.0000000+00:00,912
2015-05-23T00:00:00.0000000+00:00,500
2015-05-24T00:00:00.0000000+00:00,468
2015-05-25T00:00:00.0000000+00:00,241
2015-05-26T00:00:00.0000000+00:00,1216
2015-05-27T00:00:00.0000000+00:00,847
2015-05-28T00:00:00.0000000+00:00,768
2015-05-29T00:00:00.0000000+00:00,950
2015-05-30T00:00:00.0000000+00:00,645
2015-05-31T00:00:00.0000000+00:00,1189
2015-06-01T00:00:00.0000000+00:00,1727
2015-06-02T00:00:00.0000000+00:00,652
2015-06-03T00:00:00.0000000+00:00,796
2015-06-04T00:00:00.0000000+00:00,930
2015-06-05T00:00:00.0000000+00:00,668
2015-06-06T00:00:00.0000000+00:00,284
2015-06-07T00:00:00.0000000+00:00,578
2015-06-08T00:00:00.0000000+00:00,754
2015-06-09T00:00:00.0000000+00:00,975
2015-06-10T00:00:00.0000000+00:00,711
2015-06-11T00:00:00.0000000+00:00,674
2015-06-12T00:00:00.0000000+00:00,685
2015-06-13T00:00:00.0000000+00:00,333
2015-06-14T00:00:00.0000000+00:00,331
2015-06-15T00:00:00.0000000+00:00,703
2015-06-16T00:00:00.0000000+00:00,554
2015-06-17T00:00:00.0000000+00:00,942
2015-06-18T00:00:00.0000000+00:00,706
2015-06-19T00:00:00.0000000+00:00,660
2015-06-20T00:00:00.0000000+00:00,292
2015-06-21T00:00:00.0000000+00:00,360
2015-06-22T00:00:00.0000000+00:00,981
2015-06-23T00:00:00.0000000+00:00,787
2015-06-24T00:00:00.0000000+00:00,790
2015-06-25T00:00:00.0000000+00:00,754
2015-06-26T00:00:00.0000000+00:00,591
2015-06-27T00:00:00.0000000+00:00,379
2015-06-28T00:00:00.0000000+00:00,331
2015-06-29T00:00:00.0000000+00:00,629
2015-06-30T00:00:00.0000000+00:00,1092
2015-07-01T00:00:00.0000000+00:00,906
2015-07-02T00:00:00.0000000+00:00,886
2015-07-03T00:00:00.0000000+00:00,749
2015-07-04T00:00:00.0000000+00:00,272
2015-07-05T00:00:00.0000000+00:00,353
2015-07-06T00:00:00.0000000+00:00,769
2015-07-07T00:00:00.0000000+00:00,917
2015-07-08T00:00:00.0000000+00:00,759
2015-07-09T00:00:00.0000000+00:00,822
2015-07-10T00:00:00.0000000+00:00,663
2015-07-11T00:00:00.0000000+00:00,549
2015-07-12T00:00:00.0000000+00:00,601
2015-07-13T00:00:00.0000000+00:00,1232
